epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.406,0.48624,0.38059,0.84287,0.95789,0.94456,0.9741,0.9015,0.3854,0.30281,0.80282,0.00333,0.00333,0.00333
2,519.615,0.51044,0.40631,0.84713,0.94585,0.94076,0.97074,0.89152,0.40194,0.3349,0.80553,0.00658087,0.00658087,0.00658087
3,762.422,0.54947,0.45848,0.85716,0.91316,0.88127,0.9388,0.84721,0.44399,0.43404,0.8165,0.00974925,0.00974925,0.00974925
4,1002.66,0.58812,0.51228,0.87024,0.90531,0.87814,0.92555,0.83151,0.45927,0.45963,0.82387,0.00962875,0.00962875,0.00962875
5,1224.38,0.58584,0.50607,0.86945,0.91311,0.87994,0.93532,0.84043,0.44971,0.4379,0.82353,0.009505,0.009505,0.009505
6,1427.59,0.58615,0.50785,0.86985,0.91802,0.89918,0.94709,0.85082,0.45096,0.4229,0.82048,0.00938125,0.00938125,0.00938125
7,1632.29,0.58336,0.5003,0.86998,0.9215,0.91327,0.94893,0.85691,0.44518,0.40505,0.82104,0.0092575,0.0092575,0.0092575
8,1835.54,0.5809,0.49598,0.86885,0.90943,0.88482,0.92889,0.83595,0.44743,0.44843,0.82197,0.00913375,0.00913375,0.00913375
9,2038.11,0.57691,0.48957,0.868,0.90786,0.89926,0.93878,0.8514,0.43871,0.42519,0.82009,0.00901,0.00901,0.00901
10,2242.82,0.57268,0.48644,0.86631,0.93239,0.90254,0.95152,0.86349,0.43415,0.39803,0.8186,0.00888625,0.00888625,0.00888625
11,2446.61,0.57144,0.47912,0.86524,0.94164,0.91497,0.95931,0.87116,0.42826,0.37786,0.81684,0.0087625,0.0087625,0.0087625
12,2693.32,0.56908,0.4795,0.86587,0.9279,0.90984,0.95313,0.86601,0.43226,0.3834,0.81794,0.00863875,0.00863875,0.00863875
13,2937.93,0.56826,0.47448,0.86205,0.92682,0.90692,0.94653,0.86406,0.42227,0.40009,0.81591,0.008515,0.008515,0.008515
14,3155.97,0.56059,0.46355,0.86313,0.93472,0.91616,0.95648,0.8732,0.41555,0.36897,0.81333,0.00839125,0.00839125,0.00839125
15,3366.99,0.55639,0.46095,0.86103,0.92479,0.90778,0.95224,0.86918,0.41488,0.38765,0.81285,0.0082675,0.0082675,0.0082675
16,3574.89,0.55962,0.46445,0.86039,0.94024,0.92842,0.96456,0.883,0.40942,0.34792,0.81075,0.00814375,0.00814375,0.00814375
17,3783,0.55505,0.45729,0.85957,0.93963,0.91992,0.95857,0.87861,inf,0.36059,0.81154,0.00802,0.00802,0.00802
18,3992.13,0.55117,0.45145,0.85792,0.93772,0.91743,0.95733,0.87895,0.40424,0.36119,0.81009,0.00789625,0.00789625,0.00789625
19,4199.68,0.55038,0.44612,0.85786,0.9408,0.91927,0.96061,0.88195,0.40302,0.35416,0.8114,0.0077725,0.0077725,0.0077725
20,4408.8,0.54624,0.44442,0.85694,0.94036,0.92601,0.96239,0.88612,0.39587,0.34404,0.80712,0.00764875,0.00764875,0.00764875
