epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.014,0.79666,0.63189,1.01831,0.96161,0.94019,0.97519,0.89472,0.39702,0.31052,0.8152,0.00333,0.00333,0.00333
2,497.2,0.77059,0.60437,0.94621,0.94165,0.92747,0.96344,0.87831,0.42104,0.35625,0.81052,0.00659737,0.00659737,0.00659737
3,711.009,0.7832,0.65589,0.93966,0.9188,0.90608,0.94626,0.84448,0.47238,0.41736,0.82569,0.00979873,0.00979873,0.00979873
4,923.956,0.8171,0.71087,0.95109,0.92514,0.8942,0.94331,0.83527,0.48603,0.43696,0.83085,0.009703,0.009703,0.009703
5,1137.46,0.81537,0.71046,0.9469,0.91434,0.89696,0.94298,0.83525,0.48261,0.43015,0.83052,0.009604,0.009604,0.009604
6,1347.38,0.81122,0.70354,0.94071,0.91766,0.89984,0.94391,0.84086,0.482,0.43265,0.83037,0.009505,0.009505,0.009505
7,1559.58,0.79966,0.68577,0.93496,0.92332,0.91337,0.94752,0.84555,0.47581,0.41616,0.82671,0.009406,0.009406,0.009406
8,1776.75,0.7926,0.66726,0.93098,0.93226,0.89725,0.94713,0.84628,0.46783,0.4148,0.82542,0.009307,0.009307,0.009307
9,1997.85,0.77847,0.65004,0.92289,0.93842,0.91282,0.95795,0.85863,0.46322,0.39422,0.82493,0.009208,0.009208,0.009208
10,2212.84,0.75855,0.63453,0.91476,0.94967,0.92087,0.96403,0.86405,0.46144,0.373,0.82393,0.009109,0.009109,0.009109
11,2429.2,0.75708,0.6276,0.91215,0.93395,0.91637,0.95762,0.86004,0.45894,0.39025,0.82261,0.00901,0.00901,0.00901
12,2646.25,0.74153,0.61302,0.90595,0.94822,0.92954,0.96662,0.8702,0.4523,0.36745,0.8199,0.008911,0.008911,0.008911
13,2866.16,0.7386,0.60813,0.90125,0.94832,0.92354,0.96469,0.8688,0.45031,0.37034,0.82215,0.008812,0.008812,0.008812
14,3089,0.72629,0.59158,0.90003,0.94809,0.92778,0.96661,0.87376,0.4394,0.35397,0.81876,0.008713,0.008713,0.008713
15,3310.26,0.70784,0.57801,0.89581,0.95203,0.93382,0.97023,0.87805,0.43509,0.34392,0.81918,0.008614,0.008614,0.008614
16,3528.82,0.7077,0.57645,0.89415,0.94606,0.92822,0.96459,0.87335,0.43989,0.35337,0.82099,0.008515,0.008515,0.008515
17,3747.01,0.70676,0.57379,0.89308,0.95901,0.93627,0.9716,0.88182,0.43162,0.33759,0.81801,0.008416,0.008416,0.008416
18,3967.34,0.70336,0.57012,0.89232,0.95417,0.94061,0.97287,0.88639,0.42587,0.3325,0.81707,0.008317,0.008317,0.008317
19,4181.67,0.70504,0.56462,0.89365,0.9582,0.93783,0.97272,0.88641,0.42246,0.33052,0.81736,0.008218,0.008218,0.008218
20,4401.79,0.69019,0.55811,0.8879,0.95421,0.94343,0.97242,0.88497,0.42205,0.32604,0.8159,0.008119,0.008119,0.008119
21,4618.24,0.69121,0.55432,0.88816,0.96558,0.94316,0.9759,0.89183,0.4179,0.31104,0.8151,0.00802,0.00802,0.00802
22,4837.44,0.68882,0.54747,0.88618,0.96512,0.94852,0.9774,0.89506,0.41539,0.3073,0.81367,0.007921,0.007921,0.007921
23,5048.08,0.67855,0.5387,0.88504,0.96324,0.94268,0.97507,0.89391,0.4116,0.30988,0.8133,0.007822,0.007822,0.007822
24,5262.2,0.6792,0.53543,0.88485,0.96556,0.94389,0.97754,0.89711,0.4084,0.30036,0.81218,0.007723,0.007723,0.007723
25,5471.77,0.68016,0.5353,0.88379,0.96377,0.94925,0.97821,0.89704,0.40861,0.3008,0.81176,0.007624,0.007624,0.007624
26,5683.31,0.67297,0.5328,0.88158,0.97307,0.94844,0.98036,0.90161,0.40518,0.29278,0.811,0.007525,0.007525,0.007525
27,5892.27,0.67421,0.52973,0.88284,0.96933,0.94699,0.97983,0.90045,0.40179,0.29452,0.80942,0.007426,0.007426,0.007426
28,6100.3,0.67123,0.52451,0.88278,0.97242,0.95131,0.98149,0.90302,0.40046,0.28534,0.80983,0.007327,0.007327,0.007327
29,6312.52,0.66498,0.52453,0.87967,0.96888,0.95206,0.98093,0.90349,0.39825,0.28718,0.80954,0.007228,0.007228,0.007228
30,6527.14,0.66616,0.5206,0.87983,0.9753,0.95025,0.98197,0.90423,0.39573,0.28201,0.80786,0.007129,0.007129,0.007129
31,6735.79,0.65414,0.51151,0.87792,0.97136,0.954,0.98231,0.90616,0.39293,0.27834,0.8085,0.00703,0.00703,0.00703
32,6945.1,0.65889,0.51532,0.87811,0.97286,0.95643,0.98231,0.90588,0.39451,0.27837,0.80781,0.006931,0.006931,0.006931
33,7155.33,0.65205,0.50454,0.87579,0.97488,0.95695,0.98302,0.90851,0.3919,0.27291,0.80765,0.006832,0.006832,0.006832
34,7367.51,0.65113,0.50723,0.87726,0.97043,0.95902,0.98346,0.90842,0.39072,0.27349,0.8076,0.006733,0.006733,0.006733
35,7583.88,0.64943,0.50259,0.87594,0.97458,0.95738,0.98341,0.90877,0.38878,0.27137,0.80671,0.006634,0.006634,0.006634
36,7797.31,0.64749,0.49821,0.87465,0.97176,0.96019,0.98391,0.90964,0.38764,0.26983,0.80651,0.006535,0.006535,0.006535
37,8014.69,0.64877,0.49971,0.87436,0.97497,0.95956,0.98439,0.91041,0.38626,0.26733,0.80576,0.006436,0.006436,0.006436
38,8224.42,0.64729,0.49717,0.87486,0.97769,0.95899,0.98446,0.91068,0.38628,0.26585,0.8055,0.006337,0.006337,0.006337
39,8437.64,0.63488,0.48615,0.87172,0.97497,0.96434,0.98554,0.91228,0.38478,0.2613,0.80519,0.006238,0.006238,0.006238
40,8649.16,0.63472,0.48667,0.8705,0.97836,0.96078,0.98537,0.91248,0.38315,0.26129,0.80461,0.006139,0.006139,0.006139
41,8862.02,0.62943,0.48429,0.87055,0.98048,0.96053,0.98551,0.91378,0.38111,0.25936,0.80422,0.00604,0.00604,0.00604
42,9080.55,0.63367,0.4844,0.87017,0.97737,0.96319,0.98602,0.91393,0.38051,0.25708,0.80405,0.005941,0.005941,0.005941
43,9296.18,0.63875,0.48632,0.87195,0.97778,0.96461,0.98615,0.91501,0.37942,0.25538,0.80383,0.005842,0.005842,0.005842
44,9506.18,0.62632,0.47595,0.86933,0.98093,0.96274,0.98617,0.9158,0.377,0.25429,0.80338,0.005743,0.005743,0.005743
45,9763.11,0.6284,0.47721,0.8688,0.98335,0.96139,0.98627,0.91587,0.37677,0.25463,0.80313,0.005644,0.005644,0.005644
46,9988.26,0.62665,0.47454,0.86809,0.98261,0.96271,0.98645,0.9156,0.37634,0.25353,0.80284,0.005545,0.005545,0.005545
47,10204.5,0.62517,0.47119,0.86805,0.98192,0.96353,0.98697,0.91671,0.37532,0.25151,0.80251,0.005446,0.005446,0.005446
48,10423.2,0.62429,0.46744,0.86697,0.98201,0.96323,0.98719,0.91777,0.37444,0.24946,0.80224,0.005347,0.005347,0.005347
49,10687.8,0.62416,0.4696,0.86762,0.98175,0.96465,0.98718,0.91846,0.37322,0.24861,0.80218,0.005248,0.005248,0.005248
50,10930.9,0.61976,0.46854,0.86616,0.98076,0.96687,0.98742,0.91803,0.37222,0.24714,0.80174,0.005149,0.005149,0.005149
