epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21921.5,0.51973,0.40575,0.85039,0.96438,0.94586,0.97901,0.91255,0.36041,0.28212,0.79733,0.005842,0.005842,0.005842
44,22584.2,0.51548,0.40216,0.8495,0.96385,0.94805,0.97959,0.91348,0.35978,0.27978,0.79704,0.005743,0.005743,0.005743
45,23249,0.51456,0.40049,0.85018,0.96549,0.94732,0.97991,0.91427,0.35902,0.27842,0.7968,0.005644,0.005644,0.005644
46,23913,0.51377,0.39962,0.84965,0.96764,0.94725,0.98062,0.9155,0.35806,0.27532,0.79651,0.005545,0.005545,0.005545
47,24578.4,0.51349,0.39722,0.8485,0.96648,0.94902,0.98076,0.91584,0.35709,0.27457,0.79617,0.005446,0.005446,0.005446
48,25243.1,0.50882,0.39407,0.84699,0.96655,0.94955,0.98094,0.91625,0.35647,0.27367,0.79592,0.005347,0.005347,0.005347
49,25906.8,0.50874,0.39245,0.84734,0.96734,0.95017,0.98125,0.91681,0.35578,0.27247,0.79568,0.005248,0.005248,0.005248
50,26572,0.50694,0.38938,0.84624,0.96696,0.95165,0.98156,0.91721,0.35522,0.27126,0.79544,0.005149,0.005149,0.005149
51,27232.1,0.5021,0.38436,0.84566,0.96755,0.95198,0.98172,0.91763,0.35461,0.27002,0.79523,0.00505,0.00505,0.00505
52,27903.2,0.49999,0.38076,0.84436,0.96776,0.9529,0.98205,0.91802,0.35409,0.26876,0.79507,0.004951,0.004951,0.004951
53,28553.6,0.50403,0.38385,0.84561,0.96761,0.95377,0.98217,0.91822,0.35382,0.26811,0.79496,0.004852,0.004852,0.004852
54,29184.3,0.49652,0.37672,0.84247,0.96834,0.95338,0.9823,0.91861,0.35324,0.26735,0.79479,0.004753,0.004753,0.004753
55,29853,0.49515,0.37778,0.84218,0.96887,0.95369,0.98243,0.91873,0.35262,0.26669,0.79461,0.004654,0.004654,0.004654
56,30521.2,0.4965,0.37519,0.84294,0.9705,0.95277,0.98254,0.91895,0.35215,0.26604,0.79443,0.004555,0.004555,0.004555
57,31194.5,0.49233,0.37044,0.8425,0.97015,0.95363,0.98269,0.91922,0.35156,0.2654,0.79427,0.004456,0.004456,0.004456
58,31860.7,0.49076,0.36851,0.84207,0.97083,0.95392,0.98284,0.91959,0.35105,0.26442,0.79412,0.004357,0.004357,0.004357
59,32525.7,0.49017,0.36897,0.84079,0.97081,0.95418,0.98292,0.91987,0.35054,0.26386,0.79397,0.004258,0.004258,0.004258
